序号,题型,题目,答案,知识点,解析
1,判断题,发现火灾后，应第一时间拨打119报警。,对,报警常识,火灾发生后应立即报警并尽快组织安全疏散。
2,判断题,发生火灾时，乘坐电梯逃生通常是不安全的。,对,逃生疏散,火灾可能导致停电、烟气进入电梯井，电梯不适合作为逃生工具。
3,判断题,油锅起火时，可以直接泼水灭火。,错,灭火常识,油锅起火泼水会导致火势飞溅扩大，应关火并盖锅盖。
4,判断题,使用灭火器时，应站在上风或侧上风方向。,对,灭火器使用,站在上风方向更有利于避开烟火和干粉回喷。
5,判断题,发现电器着火后，应先切断电源再进行灭火。,对,用电安全,电器着火要先断电，再选择合适灭火器材。
6,判断题,高层建筑失火时，应尽量往楼顶跑，且不判断现场情况。,错,逃生疏散,应根据疏散指示和现场情况选择安全出口，不可盲目行动。
7,判断题,浓烟环境中逃生时，应尽量低姿前进。,对,逃生疏散,烟气上升，低处空气相对较好。
8,判断题,身上衣物着火时，应就地打滚压灭火焰。,对,自救常识,就地打滚可隔绝空气，减弱火势。
9,判断题,疏散楼梯间堆放杂物不会影响火灾逃生。,错,疏散通道,楼梯间和通道必须保持畅通。
10,判断题,消防通道被占用会影响灭火救援。,对,消防通道,消防车通道必须保持畅通，便于救援车辆通行。
11,判断题,可以私拉乱接电线给电动车充电。,错,用电安全,私拉乱接电线易造成过载、短路和火灾。
12,判断题,电动车入户充电存在较大火灾风险。,对,电动车安全,电动车电池故障可能引发火灾，入户充电危险较大。
13,判断题,楼道内停放电动车不会对疏散造成影响。,错,疏散通道,楼道停放车辆会阻碍疏散并增加火灾危险。
14,判断题,灭火器使用前应先检查压力是否正常。,对,灭火器使用,灭火器压力不足可能影响灭火效果。
15,判断题,干粉灭火器适用于扑救一般固体火灾。,对,灭火器材,干粉灭火器适用于多种类型初起火灾。
16,判断题,灭火器过期后只要外观完好仍可放心使用。,错,灭火器材,灭火器应按规定检查、维修和报废。
17,判断题,火灾发生时，先抢救财物比先撤离更重要。,错,逃生疏散,人员生命安全优先，应先撤离到安全区域。
18,判断题,报警时应尽量说清起火地点、火势和有无人员被困。,对,报警常识,报警信息越完整，越有利于快速救援。
19,判断题,只要火势不大，就不需要报警。,错,报警常识,初起火灾也可能迅速扩大，必要时应及时报警。
20,判断题,消火栓箱前堆放物品会影响应急使用。,对,消防设施,消防设施周边不得遮挡、占用。
21,判断题,消防设施损坏后与普通人无关，不必报告。,错,消防设施,发现消防设施损坏应及时报告并处理。
22,判断题,可燃物与火源保持安全距离有助于预防火灾。,对,火灾预防,减少可燃物接近热源可降低起火概率。
23,判断题,在床上吸烟容易引发火灾。,对,日常防火,卧床吸烟易因烟头引燃被褥。
24,判断题,烟头熄灭后再丢弃更安全。,对,日常防火,未熄灭烟头可能引燃周边可燃物。
25,判断题,蚊香可以直接放在纸箱上使用。,错,日常防火,蚊香具有高温，必须远离可燃物。
26,判断题,厨房用火时，人离开后不必关火。,错,厨房安全,用火期间应有人看护，离开必须关火。
27,判断题,燃气泄漏时应立即开灯检查。,错,燃气安全,开关电器可能产生火花，应先关阀、开窗、撤离并报修。
28,判断题,怀疑燃气泄漏时，开窗通风是正确做法之一。,对,燃气安全,保持通风有助于降低可燃气体浓度。
29,判断题,家中长期无人时，应关闭不必要的电源和燃气阀门。,对,居家防火,可减少因设备故障引发火灾的风险。
30,判断题,儿童可以单独操作燃气灶具。,错,家庭安全,儿童缺乏安全操作能力，存在较大风险。
31,判断题,火灾时关闭房门有助于减缓烟火蔓延。,对,逃生疏散,关门可阻挡烟气和火焰扩散，为逃生争取时间。
32,判断题,用湿毛巾捂住口鼻可以在一定程度上减少吸入烟尘。,对,逃生疏散,湿毛巾可对部分烟尘起到一定过滤作用，但不能替代专业防烟设备。
33,判断题,发生火灾时，躲在卫生间就一定最安全。,错,逃生疏散,是否可暂避需视现场条件而定，不能一概而论。
34,判断题,若门外温度很高，说明外面可能已有火，不宜贸然开门。,对,逃生疏散,可先触摸门把或门板判断，再选择安全行动。
35,判断题,被烟火围困时，可以在窗口等显眼位置发出求救信号。,对,自救常识,可通过挥舞鲜艳物品、手电等方式求救。
36,判断题,公共场所的安全出口标志在停电后通常仍应能起作用。,对,消防设施,疏散指示和应急照明应具备应急功能。
37,判断题,应急照明损坏不会影响火灾时的疏散。,错,消防设施,火灾断电环境下，应急照明对疏散很重要。
38,判断题,消防演练有助于提高人员应急逃生能力。,对,消防宣传,演练可熟悉路线、流程和岗位职责。
39,判断题,消防安全培训只对消防员有用，普通人不需要。,错,消防宣传,消防安全与每个人都有关。
40,判断题,宿舍内使用大功率违规电器容易引发火灾。,对,宿舍防火,违规电器可能导致线路过载发热。
41,判断题,插线板可以长期串联使用，方便扩展插孔。,错,用电安全,插线板串联会增加过载和发热风险。
42,判断题,一个插线板上同时接多个大功率电器可能导致过载。,对,用电安全,超负荷用电是常见起火原因之一。
43,判断题,电热毯使用结束后，最好关闭电源。,对,居家防火,长时间通电会增加火灾风险。
44,判断题,老化破损的电线只要还能用，就不必更换。,错,用电安全,老化电线绝缘性能下降，容易短路起火。
45,判断题,配电箱周围应保持整洁，不得堆放可燃杂物。,对,用电安全,配电设施周边应保持安全距离和良好通风。
46,判断题,灭火器的喷射口应对准火焰上部。,错,灭火器使用,应对准火焰根部喷射。
47,判断题,使用灭火器扑救初起火灾时，应先拔掉保险销。,对,灭火器使用,常见灭火器操作步骤包括提、拔、握、压。
48,判断题,火势已经失控时，仍应独自强行扑救。,错,灭火常识,火势失控应立即撤离并报警，避免人员伤亡。
49,判断题,二氧化碳灭火器适合扑救部分电气火灾。,对,灭火器材,二氧化碳灭火器不导电，适用于一定范围的电气火灾。
50,判断题,泡沫灭火器一般不宜直接用于带电设备火灾。,对,灭火器材,泡沫含水，直接用于带电火灾有触电风险。
51,判断题,楼层安全出口被锁闭会增加火灾风险。,对,疏散通道,安全出口必须保持畅通、便于开启。
52,判断题,公共场所装修时大量使用易燃材料更安全。,错,火灾预防,装修材料应符合防火要求。
53,判断题,仓库中可燃物品应分类堆放，并注意防火间距。,对,场所防火,规范堆放有助于降低火灾蔓延风险。
54,判断题,在禁止烟火场所吸烟属于违法或违规行为。,对,场所防火,禁烟禁火区域严禁明火。
55,判断题,火灾自动报警系统误报一次后，以后就可以不管。,错,消防设施,报警系统异常应及时检查维修。
56,判断题,防火门平时应保持其应有功能，不得人为拆除闭门器。,对,消防设施,防火门是阻止火势蔓延的重要设施。
57,判断题,常闭式防火门应长期保持开启状态，方便通行。,错,消防设施,常闭式防火门应保持关闭，必要时可设置联动装置。
58,判断题,进入商场、影院等公共场所时，留意安全出口位置是有必要的。,对,逃生疏散,提前熟悉出口位置有助于紧急情况下快速撤离。
59,判断题,火灾现场烟气是造成伤亡的重要原因之一。,对,火灾常识,烟气中的高温和有毒气体危害很大。
60,判断题,只要看不到明火，烟雾就不会有危险。,错,火灾常识,烟雾中可能含有高温和有毒气体。
61,判断题,可燃气体钢瓶应远离热源和明火。,对,危化品安全,受热可能导致泄漏甚至爆炸。
62,判断题,液化气钢瓶可以卧放使用。,错,燃气安全,钢瓶应保持直立，卧放会影响安全使用。
63,判断题,发现燃气软管老化、龟裂应及时更换。,对,燃气安全,老化软管容易泄漏燃气。
64,判断题,逃生时若通道被浓烟封堵，应强行穿越。,错,逃生疏散,应选择其他安全路线或采取避险措施并等待救援。
65,判断题,火灾时盲目跳楼逃生通常是危险的。,对,逃生疏散,高处坠落风险极高，应优先选择安全疏散方式。
66,判断题,在室内被困时，可用湿布堵塞门缝减缓烟气进入。,对,自救常识,可一定程度阻挡烟气，为救援争取时间。
67,判断题,消防水带、水枪等设施平时拿来挪作他用没有关系。,错,消防设施,消防器材不得擅自挪用、损坏。
68,判断题,任何单位和个人都有维护消防安全、保护消防设施的责任。,对,消防宣传,消防安全是全社会共同责任。
69,判断题,楼道里安装防盗门后把公共通道变窄一些也没关系。,错,疏散通道,不得侵占、堵塞疏散通道。
70,判断题,火灾逃生时应尽量听从现场指挥，有序疏散。,对,逃生疏散,有序疏散能减少踩踏和混乱。
71,判断题,在加油站等易燃易爆场所，使用手机和明火都应严格遵守相关规定。,对,场所防火,相关场所有严格防火防爆要求。
72,判断题,燃放烟花爆竹时不需要考虑周围是否有可燃物。,错,日常防火,烟花爆竹应在安全区域按规定燃放。
73,判断题,草堆、纸箱等可燃物靠近配电设备会增加火灾风险。,对,火灾预防,可燃物接近电气设备易被引燃。
74,判断题,在实验室内，酒精灯等火源使用后应及时熄灭。,对,实验室安全,火源失控会引发火灾事故。
75,判断题,学校、企业开展消防演练时，走过场也能达到同样效果。,错,消防宣传,演练应真实规范，才能提升实战能力。
76,判断题,火灾发生后，返回现场拿手机、证件等物品是明智的。,错,逃生疏散,火灾中返回现场会显著增加危险。
77,判断题,安全出口指示标志通常为绿色。,对,消防标识,绿色通常表示安全疏散方向。
78,判断题,灭火毯可用于覆盖扑灭部分小型初起火灾。,对,灭火器材,灭火毯可通过隔绝空气抑制火焰。
79,判断题,火灾报警按钮发现后好奇按一下试试没有影响。,错,消防设施,非紧急情况误触发会影响管理和应急秩序。
80,判断题,装修施工现场动火作业应落实相应安全措施。,对,施工防火,动火作业必须严格执行审批和防护要求。
81,判断题,焊接、切割作业周围存在可燃物时更要加强防火措施。,对,施工防火,电焊切割火花可能引燃周围可燃物。
82,判断题,只要会使用灭火器，任何火灾都可以自己扑灭。,错,灭火常识,灭火器仅适用于一定范围内的初起火灾。
83,判断题,防烟楼梯间有助于火灾时人员安全疏散。,对,建筑防火,防烟设施可减少烟气进入疏散通道。
